semester,years,subj1,subj2,subj3,subj4,subj5,subj6,subj7,Final_Grade
2,2021,C+,F,F,F,F,F,F,F
1,2021,B+,C,B,B,B+,B,C+,B
1,2022,D,F,D,P,D,P,F,F
1,2023,P,D,D,C+,P,D,D,C
3,2023,B,B,C+,C+,B+,B,B,B
3,2020,C+,B+,B+,A,A,A,A,A
3,2022,D,D,D,P,F,P,F,F
2,2023,P,D,D,D,D,C,D,C
2,2020,C+,D,C,C,D,C+,D,C+
3,2021,D,C,D,P,C,P,D,C
3,2020,D,D,F,F,C,F,P,F
1,2023,C+,D,C,C+,C,D,C,C+
1,2022,S,S,S,S,A,S,S,S
2,2022,P,F,F,F,F,F,F,F
3,2020,S,S,S,S,S,A+,S,S
1,2022,P,F,F,F,F,F,D,F
1,2020,F,F,F,C,F,F,F,F
1,2020,A+,A+,B+,S,A,S,A,S
3,2022,F,P,F,F,F,F,F,F
1,2020,A+,A,A,A+,S,A+,B+,A+
3,2023,D,S,P,B,D,B,P,B
3,2022,F,F,F,F,F,F,F,F
3,2020,B,C,C+,C,C+,C,C+,C+
1,2023,A,S,S,A+,S,A,A+,S
3,2023,D,D,C,C,P,C+,P,C
1,2021,F,F,F,F,F,F,C+,F
1,2021,C,D,D,C+,D,C+,C,C
1,2023,F,F,F,F,P,F,P,F
3,2020,A,B,B,A,B+,B+,B+,A
1,2023,F,F,F,F,F,F,F,F
3,2022,A+,B,B+,A,C,B,B+,A
3,2022,F,F,F,F,F,F,F,F
3,2022,F,F,F,F,F,F,F,F
2,2021,F,F,F,F,F,F,F,F
1,2023,D,B,C,C+,B+,C+,P,C+
2,2021,D,C+,C+,C+,B+,C+,B,B
3,2022,C,F,D,C,P,C,C,P
2,2022,F,F,F,F,F,F,F,F
3,2020,F,F,F,F,F,F,F,F
1,2022,D,C+,D,D,P,D,D,C
3,2021,F,D,F,F,F,F,F,F
2,2021,C,F,P,F,P,P,P,F
1,2020,F,F,P,D,P,P,C+,F
2,2021,F,F,C,P,F,P,F,F
3,2022,A+,A,A+,A+,A+,S,A+,S
2,2021,S,A+,A,S,S,S,S,S
3,2021,C+,C+,B,C+,C,B+,C,B
3,2023,C,D,C+,P,C+,C,D,C
1,2023,A+,A,B+,B+,A,A,C+,A
2,2022,F,F,F,F,P,F,P,F
2,2021,S,C,B,A+,S,S,F,B+
2,2020,B,B+,B,B+,B+,C+,A+,B+
2,2021,P,D,P,D,P,P,D,D
1,2020,C,F,P,D,D,D,D,F
2,2023,C+,C+,B,A+,B+,B,B,B+
2,2020,C,D,D,P,D,D,C,C
2,2020,B,B+,A,B+,B+,S,A,A
3,2022,P,D,D,P,P,P,P,D
2,2023,F,F,F,F,F,F,P,F
1,2021,B+,C+,C+,C+,B,B+,B+,B
2,2023,D,F,F,F,F,F,F,F
2,2023,B+,C+,B,B,A+,A,A,B+
2,2020,B+,A,B+,B,B+,B,A,A
2,2022,A,B+,B+,A,A,B+,B,A
1,2023,D,P,P,F,D,C,C,F
3,2021,B+,B+,B,B,B,C+,B,B+
1,2021,D,P,P,P,F,P,P,P
1,2023,D,P,D,P,B,P,D,D
3,2023,A,A+,B+,B+,A+,A+,A,A+
2,2021,A,A,A,B,B+,B+,B,A
3,2022,S,S,A+,A+,S,S,S,S
2,2020,C,C,C,C+,C,C,C,C+
2,2021,F,F,F,F,F,F,F,F
3,2023,C+,B,C,B,C,C,C,B
2,2020,B,A,B+,B,A,B+,A,A
2,2020,P,D,B+,S,P,S,S,B+
1,2023,D,C,C+,D,F,F,P,P
3,2021,B+,B,A,A,A,B+,B,A
2,2020,A+,S,B+,S,A,A+,B+,S
2,2020,C+,P,P,F,F,F,P,F
2,2020,D,F,F,F,F,F,P,F
3,2023,B+,B,B,A,B,C+,B,B+
1,2020,B,B+,B,B+,C+,C+,B,B+
3,2021,S,A+,F,D,S,S,C,B
2,2020,B,A,B+,B+,A+,S,B+,A
3,2021,A,B+,A+,B+,B+,B+,C,A
2,2021,S,A,B+,A,B,S,S,A+
1,2021,F,F,F,P,F,F,F,F
2,2020,B+,A+,B+,B+,B+,C+,C+,A
1,2022,F,P,P,F,P,D,P,F
1,2021,A,B,B+,F,S,S,B+,C+
3,2020,C,C,C+,C,C,C+,B,C+
2,2022,A+,A,A,A,A+,A,A,A+
1,2020,D,P,F,F,P,F,F,F
3,2020,D,D,C,D,D,D,C,C
2,2023,B,B,B+,C+,C+,C,B,B
2,2023,F,F,P,F,F,F,F,F
3,2022,P,F,F,P,F,F,S,F
1,2020,P,S,S,A+,S,A,S,A+
3,2021,A+,A+,A,S,A,A+,A+,S
3,2021,C,C,C,C,C+,C+,C+,C+
2,2020,A+,S,C+,C,S,S,P,A
1,2020,F,F,C,D,F,F,F,F
1,2022,B+,A+,B+,A+,B+,S,S,A+
3,2020,P,C,F,C,F,F,F,F
3,2021,F,F,F,F,F,F,F,F
1,2022,S,S,S,S,A+,S,A,S
1,2021,A,B+,A+,B,A,B,B+,A
1,2021,S,S,S,S,S,S,S,S
3,2022,F,F,F,F,F,F,F,F
2,2021,D,C,C,C+,C+,C+,C+,C+
3,2020,F,F,F,F,F,F,F,F
1,2023,C+,P,C,D,C,C+,C,C
1,2023,F,F,F,F,F,F,P,F
2,2020,F,F,F,F,F,F,F,F
1,2022,F,F,P,F,F,F,F,F
3,2021,S,S,S,A+,S,S,S,S
1,2023,B,B+,B,C,B,C+,B,B
2,2022,C,A,A,A+,C+,A+,A,A
3,2020,B,C+,C+,C,C+,B,C,B
3,2022,C+,B,D,P,C+,C,B+,C+
2,2023,S,S,S,S,S,A+,S,S
2,2022,S,S,S,A+,S,A+,A,S
2,2023,F,D,F,F,F,P,F,F
1,2020,B+,C,C+,B+,B,A,B,B+
1,2022,F,F,F,F,P,F,F,F
2,2020,D,P,C+,D,D,C,C,C
1,2022,F,F,F,F,B,C+,C,F
1,2020,P,D,C,C,F,P,P,D
1,2022,C,B,C,C+,D,C,C+,C+
1,2021,S,S,A+,A,A,S,A,S
3,2023,F,F,P,F,F,F,F,F
1,2021,P,P,D,P,P,F,C,P
3,2020,A,A,S,A+,A+,A,A,A+
1,2020,C+,C+,C+,B,C+,B,C+,B
1,2021,C,C+,C,C+,B,D,D,C+
3,2022,F,F,F,P,F,P,F,F
3,2023,S,A,A,A+,S,F,S,A
1,2023,C+,D,C,B,D,C,C+,C+
2,2020,F,D,F,D,P,F,P,F
2,2021,B,C+,C+,C,C+,B,B,B
2,2020,A,B,C+,B+,A,A,B,B+
1,2020,S,S,S,S,B+,S,A,S
2,2020,F,F,F,F,F,F,F,F
2,2020,B,C+,C+,C+,C,C,D,C+
3,2023,B,B+,B,C+,B+,C+,B+,B+
1,2021,D,C,D,D,P,F,P,D
2,2023,P,D,F,D,D,P,C,F
1,2021,P,C,D,F,P,P,F,F
3,2023,A+,A+,B+,A,B+,B,B,A
1,2023,P,D,F,F,P,P,D,F
3,2022,A,B+,A,C+,B,C,B,B+
1,2020,B,B,B+,B+,A,B+,B,B+
3,2021,S,S,S,A+,S,S,S,S
3,2020,C,C+,C+,B,D,C,C,C+
2,2023,B+,B,A+,B,C+,B+,B+,B+
2,2020,C,C+,P,C+,D,C+,C,C+
2,2021,F,D,D,P,D,F,C,F
3,2022,F,F,F,F,P,F,F,F
3,2022,C,C,D,C+,C,C+,C,C+
2,2023,F,S,B,S,F,D,F,D
1,2020,B,B,C,C,C+,B+,C+,B
2,2023,F,P,F,F,F,P,P,F
2,2022,F,F,F,F,F,F,F,F
3,2022,C,D,D,C,P,P,C,C
2,2022,F,F,F,P,F,F,P,F
1,2022,F,F,F,F,F,F,F,F
1,2020,C,C+,C,C+,C,D,C+,C+
1,2021,C+,B,C,B,C+,B,C,B
2,2020,D,C,P,C,P,D,C,C
2,2023,B,B+,B+,B+,B+,A,B,B+
1,2021,C+,C,B,B,B+,C+,C+,B
3,2020,C+,B,C+,B,C+,C,B,B
2,2020,P,F,C,P,P,D,P,F
1,2020,F,F,F,F,F,F,F,F
2,2021,S,S,B+,A+,B+,S,A+,S
3,2020,F,F,D,D,D,P,F,F
1,2021,B,A+,B,B+,C+,B,C+,B+
2,2021,S,S,S,S,S,S,S,S
1,2022,C+,C+,C,C,C+,B,C,C+
2,2021,B+,B+,B+,A,B+,B,B+,A
2,2022,B+,S,S,A+,S,S,S,S
3,2023,A+,A+,A,A+,A,S,S,S
2,2022,C+,C,C,C,C,C,C,C+
1,2023,B,B,C,C,B,B+,C+,B
1,2020,B,A,A,B,B+,B,A,A
3,2023,B,A,D,D,D,S,F,C+
2,2023,C+,B,B,C+,B,C,A,B
3,2020,F,F,F,F,F,F,F,F
1,2021,B,C,B+,C,C,C,C+,B
3,2023,C,C,P,D,P,C,F,D
2,2023,D,C,P,P,D,P,C,D
3,2022,P,F,F,F,F,F,F,F
1,2022,S,A+,S,S,S,S,S,S
1,2023,C+,C+,C+,D,C,C+,C+,C+
1,2022,B+,B+,A,B+,B,C+,B+,A
2,2022,A+,A,A+,A+,S,S,A+,S
1,2022,B,A,B+,B+,B,B,B+,B+
1,2021,S,A,S,D,B+,C,S,A+
2,2021,B+,B+,A,A,A,B,B,A
1,2022,A,F,F,F,A+,F,C,F
2,2023,F,A,F,F,P,B,F,F
2,2023,C+,B+,B+,C,C,C,C+,B
1,2022,S,S,S,S,S,S,S,S
3,2023,A+,S,S,B+,S,A+,S,S
1,2023,F,P,C,F,F,P,C,F
3,2022,C,D,C,C,C+,C,D,C
1,2020,S,S,A+,S,A+,S,S,S
1,2022,C,D,S,B,C+,F,D,C+
3,2021,A+,S,A+,S,S,S,A+,S
2,2021,S,S,S,S,S,S,S,S
2,2023,C,C,P,C+,C+,C,C,C+
3,2022,B,B+,A,C+,B+,C+,B,B+
3,2020,S,B+,B+,A+,A,A+,A+,A+
3,2023,F,F,F,P,F,D,F,F
3,2023,A,A,S,B+,A+,S,S,S
3,2022,B,A,B+,B,B,B,A,B+
1,2020,C,C,B,B,B+,C,C+,B
2,2020,S,A+,C+,S,F,F,F,C+
1,2023,S,S,S,S,S,S,S,S
1,2023,D,C+,P,P,F,F,D,F
3,2022,C,D,P,F,D,D,C+,P
3,2022,F,F,F,F,F,F,F,F
1,2023,C,C+,C+,C,B,C,D,C+
1,2022,F,P,P,F,P,F,F,F
3,2020,F,F,F,F,F,F,F,F
1,2022,B,D,B+,C,C+,C,C,C+
2,2023,C+,C,C,C+,B,C+,C,C+
2,2021,F,F,P,P,P,P,P,F
2,2020,C,P,C,C,P,D,P,C
2,2021,C,F,P,D,D,P,P,F
3,2020,C+,C+,B+,C+,C+,B,B,B
2,2020,F,B,C,S,B+,S,S,C+
1,2023,B+,A,C+,A,B+,A,B,A
3,2022,D,B,B+,F,B+,A+,F,D
3,2022,B+,B,B+,B+,S,C+,B+,A
2,2021,F,F,P,F,F,F,F,F
2,2022,B,B,A,B,B+,A+,A+,A
3,2020,F,D,F,D,D,C,F,F
1,2022,S,S,A+,S,A+,S,S,S
3,2023,F,D,F,C,F,C+,C,F
3,2021,C+,C,C,C,D,D,C,C+
1,2022,C+,C+,C+,C+,B,C+,B,B
1,2021,P,D,D,D,F,P,P,P
3,2022,C+,C+,C+,B,B+,B,C+,B
2,2023,B+,B,B+,B,C+,B,B,B+
1,2022,A,B,B+,B+,B,B,B,B+
1,2023,C+,B+,A,B,B+,C+,B,B+
2,2023,F,F,F,F,F,F,F,F
3,2023,B,C+,C+,B,C,B+,C+,B
1,2022,F,F,F,P,F,F,F,F
1,2023,S,A+,S,S,S,S,A+,S
1,2020,A,A,B,A,B+,A,B,A
2,2020,S,S,A+,S,S,S,S,S
3,2020,A,B+,B+,B+,A,B,A,A
3,2020,C,F,C,D,C,D,P,P
1,2023,C+,C+,C+,D,D,C,B+,C+
2,2022,B,C,C,C+,C,B,C+,C+
2,2023,D,D,P,P,D,D,F,P
1,2022,F,F,A,D,F,F,F,F
3,2020,S,S,S,S,A+,B+,S,S
1,2020,B,B,B+,B+,B+,B,B,B+
2,2020,S,C,P,S,C,B+,C,B+
2,2022,F,D,P,P,F,D,F,F
1,2022,F,F,F,F,F,F,F,F
1,2022,B+,C+,C+,B+,B,B,C+,B+
2,2021,C+,A,A,B+,C,B+,C+,B+
3,2021,B,C+,A+,B+,B+,B+,B,B+
1,2023,F,F,F,F,F,F,P,F
3,2020,C+,B+,B+,A,B+,B,A,B+
1,2020,P,C,D,P,C,C+,P,C
3,2023,B+,B,C+,B,B,B+,B+,B+
1,2021,C,C+,C+,C+,B,B+,B,B
3,2023,A+,B+,S,S,S,A,A+,S
3,2023,C,C+,C+,D,C,C+,C,C+
1,2023,B,B+,A,B+,B,B+,B,B+
2,2020,A+,A,S,A,A,A,A+,A+
3,2023,F,F,C,F,C,B,F,F
2,2023,A,A,S,B+,S,B,S,A+
1,2020,C+,B,C+,C,C,C,C+,C+
1,2020,S,S,A+,S,A+,S,S,S
1,2022,S,S,A+,A+,A+,A+,S,S
2,2021,F,P,F,F,F,F,F,F
2,2020,F,F,F,F,F,F,D,F
2,2021,A+,B+,B+,A+,A,A+,B,A+
3,2021,C+,C+,B+,C+,B,C+,B+,B
3,2023,B,D,C+,B,B+,C+,C+,B
3,2020,B,A+,D,B,P,D,B,B
2,2020,A,S,C,A,B,F,A+,B+
3,2022,F,F,F,P,F,F,F,F
1,2021,S,S,A,S,S,S,S,S
1,2023,A+,A,A+,A+,A,B+,A+,A+
2,2021,C+,C+,C,B,C,C+,C+,B
3,2020,S,S,S,S,S,S,S,S
1,2021,A,B+,B+,A,B,C+,B,A
2,2022,S,S,S,S,C,D,S,S
2,2023,F,F,F,F,F,F,F,F
1,2022,C,D,B,B,C,C+,C+,C+
1,2020,S,A+,A,S,S,S,S,S
3,2023,S,C,S,A+,S,S,A+,S
2,2021,C,A,D,B+,C+,C,F,C+
3,2022,F,F,F,F,F,F,F,F
1,2022,C,B,C+,C+,C,D,C,C+
2,2023,C,F,F,D,F,P,P,F
1,2022,F,F,P,F,F,P,F,F
3,2021,A,A+,A,B+,B+,B,A,A
1,2020,D,C,C+,C,C,C,C,C+
3,2023,A,A,B+,A,A,A+,A+,A+
1,2020,C,B,D,C+,C,C,C+,C+
2,2021,A+,B+,B+,B+,B+,A+,A,A
2,2020,C+,C+,C,C,C+,C+,D,C+
1,2021,B,B+,B+,C+,B,B+,B,B+
3,2022,C+,B+,A,B+,B,B,C+,B+
1,2021,A,A+,B+,A,A,A,A+,A+
3,2021,B,A+,B,C+,A,C+,B,B+
1,2022,B,B,B+,A,S,B,B,A
1,2022,C,C+,C+,B,C+,C,C+,B
1,2022,F,A+,C+,P,B+,P,F,P
3,2022,C+,D,C+,C,C,P,B,C+
2,2021,C,C,B,D,C,C+,C,C+
3,2020,S,S,S,S,A,S,S,S
3,2023,S,S,S,S,B,S,S,S
2,2020,F,F,F,F,F,P,F,F
1,2022,C+,C,C+,D,C,F,D,C
2,2023,F,P,F,F,F,F,F,F
2,2022,D,B+,D,S,S,B+,C,B+
3,2023,A,B+,C+,B+,B+,B+,B+,B+
1,2022,B,B+,A,B,A,B+,B+,A
3,2022,B+,B+,C+,B+,B,B+,C+,B+
2,2020,C,C+,B,D,C+,D,D,C+
2,2021,S,S,S,S,S,S,S,S
1,2020,F,F,F,F,F,F,F,F
1,2023,F,F,F,F,F,F,F,F
1,2021,D,C,C,C,C,D,C+,C
1,2021,C,C+,C,B,B,C+,C,C+
3,2022,C+,S,A+,A,S,S,S,S
2,2021,C,C,C+,C,D,B,C+,C+
1,2021,B+,B+,A,A+,B+,A,B+,A
3,2020,C+,C,C,B,C,B,B,B
2,2023,A+,A+,S,S,S,S,S,S
2,2020,C+,C+,C+,C+,C,B,C,B
2,2022,C+,D,B,C,B+,B,B+,B
2,2020,A,A,A,A,A+,A,A+,A+
2,2021,B,B+,B,B+,B,A,B,B+
1,2022,C+,B,C+,C,C+,C+,C+,B
2,2020,B+,B,B+,B+,A,B+,A,A
2,2022,S,A,S,S,S,S,S,S
2,2020,C+,D,B+,F,F,P,F,F
2,2021,A+,A,B+,B+,B,B+,A,A
2,2020,D,F,C,C,C,D,C,P
1,2023,F,F,F,F,F,P,F,F
1,2022,P,F,D,D,D,P,P,F
2,2020,C,P,P,F,P,P,P,F
2,2023,P,F,P,P,P,P,F,F
3,2020,F,F,F,F,P,F,F,F
3,2020,F,P,F,F,F,F,F,F
2,2021,B,B,A,B+,A,B+,B,B+
2,2021,F,F,F,F,F,F,P,F
1,2021,P,F,D,P,P,P,P,F
2,2021,F,F,F,P,F,F,F,F
1,2020,C+,D,D,C,C+,D,C+,C+
2,2020,D,S,A+,S,D,S,A,A+
1,2021,C,P,F,D,B+,S,S,D
3,2020,S,S,S,S,S,S,S,S
1,2023,C+,B+,B,B+,B,B,B,B+
2,2023,B,B+,C+,A,B+,B+,B+,B+
2,2020,F,P,F,F,D,F,F,F
2,2020,B,C,D,P,P,F,D,D
2,2022,A,A,B+,B,B,B+,B+,A
1,2021,P,C,S,C+,F,A,C+,C+
1,2022,D,F,D,P,D,D,P,F
2,2022,B+,A,A+,A,S,S,A,A+
1,2021,S,A+,A+,B+,S,S,A+,S
3,2023,A,A,B+,B,A,B,B,A
2,2020,P,C,D,C+,D,C,D,C
2,2021,B+,B,B,C+,B+,B+,C+,B+
1,2022,S,A,A,S,S,A,A+,S
2,2021,F,F,F,F,F,F,F,F
1,2020,F,F,F,F,P,F,F,F
2,2020,B+,B+,B+,B,B+,B,C+,B+
2,2022,S,S,F,A,S,S,S,B+
2,2021,F,P,F,F,F,F,F,F
2,2022,A+,S,A+,P,S,S,S,A+
3,2023,C,B,B+,B+,B,C+,B+,B+
1,2021,B,B,B,A,B,A,B,B+
1,2022,P,P,C,P,P,D,P,D
1,2020,A,B+,A+,B+,A,C+,A,A
3,2020,F,F,F,F,P,P,F,F
1,2020,C+,C+,C,C,C+,C+,C+,C+
2,2021,F,F,F,F,F,F,F,F
3,2020,A+,A+,S,A,B,A,A,A+
2,2021,S,A+,S,S,A+,S,S,S
1,2023,F,D,P,F,F,F,F,F
2,2023,C+,C,D,C+,C+,C+,C,C+
2,2020,B,C+,C+,B,C,C,C,B
2,2022,B+,A,A+,S,A,A,S,A+
1,2022,F,F,F,F,F,F,F,F
1,2021,B+,C+,C+,B,C+,C+,B,B
3,2022,B+,B+,C+,A,C+,B,B+,B+
2,2022,S,S,A,A+,S,A,A+,S
3,2020,F,D,P,F,P,F,F,F
3,2020,S,S,S,S,S,S,S,S
3,2021,C,B,B,B+,B+,A+,B,B+
1,2022,B+,B,C+,C+,B,B+,B+,B+
2,2023,P,D,F,F,F,P,F,F
1,2023,B+,A+,B+,S,B,B+,B+,A+
2,2020,F,F,A,F,B,F,C,F
2,2020,B+,A+,A,B+,B,B+,B+,A
2,2020,D,P,P,D,D,P,D,D
1,2022,C,C+,B,B,C+,C+,C+,B
1,2020,A,B+,A,B+,A+,A+,A+,A+
3,2023,P,C+,F,A,C,C,B+,D
1,2023,F,P,P,F,F,F,P,F
2,2021,A,S,A+,B,A+,A,A,A+
1,2022,D,D,C,C,P,C,F,D
3,2021,B,S,A,B,C,S,P,A
1,2020,F,F,F,F,P,F,P,F
1,2023,A+,A+,S,S,A+,S,S,S
2,2021,F,F,F,F,F,F,F,F
2,2021,F,F,F,F,F,F,D,F
2,2021,C+,C+,B+,C+,B+,A,B+,B+
1,2020,F,F,F,F,F,F,F,F
2,2023,F,F,F,F,F,F,F,F
2,2020,F,F,F,C,P,C,D,F
3,2021,D,D,D,C+,B,D,C,C
2,2020,F,F,F,F,F,F,F,F
3,2021,D,C,C+,D,D,D,P,C
2,2022,C+,C+,C+,C,C,C,C+,C+
3,2021,C,B,C+,C+,C+,C,C,C+
3,2021,C+,C+,C+,B,D,C+,C,B
2,2022,A,C+,B,C+,C+,B+,B,B+
1,2023,S,A,S,S,S,A+,S,S
3,2020,C,C,C,C,C+,B,D,C+
3,2021,C+,B+,A,B+,B,B,A,B+
2,2020,A,A,A+,B+,B+,B+,A,A
3,2023,A,A,S,B+,A,A,S,A+
3,2020,D,P,P,D,D,D,D,D
2,2020,D,F,P,F,P,C,D,F
3,2023,F,D,P,D,P,P,C,F
2,2022,B+,B+,B+,A,B,B+,B+,A
1,2022,A,A,A,A,A,A,A,A+
3,2021,F,P,F,F,D,F,C,F
2,2021,C,A,D,B+,D,B,P,B
1,2023,S,S,B,A+,S,A+,B+,S
2,2021,F,F,F,F,F,F,F,F
1,2022,F,F,F,F,F,F,F,F
3,2020,C+,C+,A,B+,B,C+,B,B+
2,2022,C,B,C+,B,B,B,C+,B
3,2022,B+,B+,B+,B,A,A,A,A
2,2022,F,F,F,F,F,F,F,F
1,2022,D,D,B,C,C,P,D,C
2,2023,D,C,C+,C+,C+,B,C+,C+
3,2023,C+,C,B,C+,C,C,B,B
3,2022,F,F,P,D,D,P,C,F
2,2021,C,F,F,C+,F,F,F,F
3,2023,B,B,B+,B,B,C+,A,B+
1,2021,F,F,F,F,F,F,F,F
1,2021,C+,C+,B,C+,B,C,C+,B
1,2020,F,F,F,F,F,F,F,F
2,2022,B+,B,B+,B,B+,C+,B+,B+
2,2021,F,C,B+,C,F,P,P,F
2,2021,S,S,S,S,S,S,S,S
1,2022,B,C+,B+,B,B+,C,B,B+
1,2020,B+,B+,A,B+,C+,B,A,A
3,2021,F,F,F,F,F,F,F,F
3,2021,P,P,F,D,P,C,F,F
2,2022,P,F,F,F,F,F,F,F
3,2021,C,D,C,P,F,P,F,P
2,2020,P,C,C,D,D,P,P,C
2,2021,C,C+,C+,C+,C+,C+,C+,C+
1,2020,B+,C+,C+,C,C+,D,B,B
3,2021,B,B+,B+,B,B,B+,S,A
1,2023,A,B+,C+,B,A,B,A,B+
1,2022,B+,B+,B+,B,C+,A,B+,B+
2,2020,F,F,F,F,F,F,F,F
2,2020,P,P,P,P,F,D,D,P
1,2021,D,P,P,P,C,C,D,D
1,2022,C,C,C+,D,C+,C+,D,C+
3,2021,A+,B+,B+,A,A,B+,B,A
1,2022,C+,F,F,F,F,F,P,F
2,2023,C+,C+,C,C+,C+,B+,C+,B
2,2023,C,B+,B,B+,B,A,C+,B+
1,2020,P,F,P,F,F,F,F,F
3,2021,C,C,C+,P,D,C+,P,C
1,2023,C,D,C+,B,C+,C+,C+,C+
1,2022,C+,B,C+,B,B,A,B,B
1,2020,F,F,F,F,F,F,F,F
3,2020,C+,C,C,C,P,D,D,C
3,2023,B,B,A+,A,B,B,B+,A
2,2021,C+,D,C,C+,C,D,C,C+
3,2023,P,D,P,C,C,F,C,D
1,2022,F,D,F,F,F,P,F,F
1,2022,D,C,F,P,P,P,C+,F
2,2023,C,A+,P,S,S,S,S,A
1,2023,F,F,F,P,F,F,P,F
2,2021,B,C+,C,C,C,C+,C+,C+
2,2023,P,P,C,C,P,D,P,D
1,2022,C,D,F,C,C,P,P,P
3,2023,S,B,S,S,B+,B,B,A+
1,2023,P,P,D,P,D,D,D,D
3,2023,D,D,P,C,C,D,D,C
1,2020,C+,B,C+,C,C,B,B,B
2,2021,C,C,B,C+,B,C+,C,C+
2,2020,B,B,C,B,B,B,B,B
2,2023,B,A,C+,B,A,C+,C+,B+
2,2023,S,S,S,S,S,S,S,S
3,2023,S,C,A+,S,B,S,B,A+
2,2023,F,D,D,F,P,P,F,F
2,2020,S,S,S,A,A,A+,S,S
1,2020,D,C,D,P,P,P,F,P
2,2021,F,A,B+,C+,C+,C,S,C
2,2020,C+,B,B,C,B+,C+,C,B
2,2023,D,D,F,C+,C,D,C,P
2,2020,D,D,D,P,F,F,F,F
2,2023,C,C,C,D,F,F,D,P
1,2020,F,P,F,F,F,F,F,F
1,2023,F,F,F,F,F,F,F,F
2,2023,A+,A+,S,A+,S,S,A+,S
2,2022,S,A+,P,D,F,P,P,C+
3,2021,C,D,D,D,D,P,D,C
3,2021,C+,B,C,C+,C+,C+,C+,B
3,2022,F,F,F,F,F,F,F,F
1,2020,F,F,F,F,B,P,C,F
2,2020,C+,A,B,B,B,B,B,B+
1,2021,D,P,P,P,F,D,C,P
2,2022,P,C,F,D,P,C,P,F
2,2023,D,P,P,P,D,D,F,P
3,2021,B,B+,B+,B+,B+,A+,B+,A
1,2023,F,D,P,P,P,F,D,F
1,2021,A,B,C+,B,B,C+,B,B+
2,2021,A+,A,A+,A+,S,S,A+,S
1,2020,A+,S,S,S,S,A+,S,S
3,2020,A,A,A,A+,A+,B,B+,A+
2,2020,C+,C+,C,C+,C,D,C,C+
1,2022,C+,A,B,B+,B+,B,B+,B+
1,2022,D,F,P,P,F,P,F,F
1,2021,C,D,P,F,P,D,D,F
3,2021,A+,B+,C+,B,B,B+,A,B+
2,2023,F,F,F,F,F,F,F,F
1,2020,C,F,S,C+,F,F,F,F
1,2023,P,D,F,D,P,F,P,F
3,2020,C,F,D,D,A,B,C,P
2,2023,F,F,F,P,F,F,F,F
3,2023,F,F,F,F,F,F,F,F
1,2022,D,P,D,P,F,D,P,P
2,2020,B+,A,A,A+,S,S,A+,A+
2,2023,P,F,D,D,P,F,D,F
2,2022,A,S,C,S,S,S,S,S
2,2023,S,S,S,S,A+,S,S,S
1,2022,F,F,P,F,F,F,F,F
2,2022,B,B+,B,C+,B,B,B,B+
3,2020,P,D,D,D,D,D,D,D
3,2020,F,F,F,P,F,F,F,F
3,2023,B,B,C+,C,C+,C+,B,B
2,2021,F,F,F,F,F,F,F,F
1,2020,C,F,F,D,F,F,D,F
3,2022,A+,S,S,A+,S,A+,S,S
3,2021,A+,S,S,S,A+,S,A,S
3,2020,D,C+,D,C+,C,D,C+,C+
1,2023,P,D,F,D,D,F,P,F
2,2022,F,F,F,F,P,F,F,F
1,2020,F,F,F,F,F,F,F,F
2,2023,F,F,F,D,F,F,F,F
2,2020,A+,C+,A+,P,S,C,C+,B+
2,2021,C,C+,B,C,F,D,C+,C
2,2020,S,S,A+,A+,S,S,S,S
2,2020,F,F,F,F,F,F,F,F
3,2020,S,C+,C+,C+,B+,S,C+,B+
2,2023,P,D,C,P,C,P,D,D
1,2021,S,S,S,S,S,S,A+,S
3,2023,C,P,P,D,P,F,P,P
1,2023,B,B,B,A,B,B+,B+,B+
3,2020,F,F,F,F,F,F,F,F
1,2020,B+,B+,B+,B+,B+,B+,B,A
1,2020,D,P,D,F,P,P,F,F
3,2023,S,S,B+,A,A,B,S,S
3,2023,D,P,P,P,F,D,P,P
1,2021,D,F,D,P,D,D,D,F
3,2023,A+,A,A,A,S,B,B+,A+
2,2021,A+,C,A+,C+,C,C,F,C+
2,2023,C,A,B,A,B+,B+,B,B+
3,2022,B+,A,A+,A,B+,A,B+,A
1,2021,F,P,P,D,C,P,P,F
2,2020,F,F,F,D,F,F,F,F
1,2022,P,F,P,F,F,P,F,F
1,2022,S,A+,B,S,B,B,C,A+
2,2021,S,S,A+,S,S,A+,S,S
2,2022,F,F,P,P,F,F,F,F
1,2022,F,F,F,F,F,F,F,F
3,2020,F,F,F,D,F,F,F,F
3,2020,D,P,D,P,D,F,P,P
2,2023,C+,B,C,B,C+,B,C+,B
2,2020,B+,C,B,C,B,C+,C+,B
3,2022,F,P,P,F,A,F,F,F
3,2020,C+,F,F,F,F,F,F,F
1,2020,F,P,F,P,F,F,F,F
1,2020,P,C,D,D,P,F,F,F
2,2020,F,F,P,F,F,F,F,F
2,2021,P,C+,F,S,B,P,F,P
2,2023,F,F,F,F,F,F,F,F
1,2022,B+,B+,B+,B+,C+,B+,B,B+
3,2023,A,C+,B,B,B,B+,B,B+
1,2022,B+,A,B,B+,B+,B+,B+,A
2,2021,S,S,A+,B,A+,C+,S,S
1,2023,F,F,F,F,F,F,F,F
2,2021,P,P,D,D,P,C,C,D
1,2023,B,C,C,C,C+,C,C,C+
2,2023,B,B+,B,B+,B,B+,C+,B+
1,2021,P,P,F,D,F,D,P,F
